2026-04-22 00:24:19 | INFO    | src.gemini_client | Arquivo pronto: files/578dbh3nf4st (estado=ACTIVE)
2026-04-22 00:25:02 | INFO    | src.gemini_client | Enviando PDF: 202412-9010-10878448.pdf (0.80 MB)
2026-04-22 00:25:05 | INFO    | src.gemini_client | Arquivo pronto: files/8t72t98norlm (estado=ACTIVE)
2026-04-22 00:25:51 | INFO    | src.gemini_client | Enviando PDF: 202506-9010-10878448.pdf (0.68 MB)
2026-04-22 00:25:54 | INFO    | src.gemini_client | Arquivo pronto: files/ypa20irrdma2 (estado=ACTIVE)
2026-04-22 00:26:50 | INFO    | src.gemini_client | Enviando PDF: 202512-9010-10878448.pdf (0.69 MB)
2026-04-22 00:26:53 | INFO    | src.gemini_client | Arquivo pronto: files/cnxllbpdlahu (estado=ACTIVE)
2026-04-22 00:27:41 | INFO    | src.csv_builder | CSV gerado: /app/CSV/10878448/10878448.csv (13 linhas)
2026-04-22 00:27:41 | INFO    | src.institution_processor | ==> Instituição 13140088 (13 arquivo(s))
2026-04-22 00:27:41 | INFO    | src.gemini_client | Enviando PDF: 201912-9010-13140088.pdf (6.33 MB)
2026-04-22 00:27:47 | INFO    | src.gemini_client | Arquivo pronto: files/sv3r5avytkit (estado=ACTIVE)
2026-04-22 00:28:26 | INFO    | src.gemini_client | Enviando PDF: 202006-9010-13140088.pdf (1.05 MB)
2026-04-22 00:28:30 | INFO    | src.gemini_client | Arquivo pronto: files/eoq7zalhlw88 (estado=ACTIVE)
2026-04-22 00:29:09 | INFO    | src.gemini_client | Enviando PDF: 202012-9010-13140088.pdf (14.13 MB)
2026-04-22 00:29:14 | INFO    | src.gemini_client | Arquivo pronto: files/dxgcpps7mqnz (estado=ACTIVE)
2026-04-22 00:29:54 | WARNING | src.gemini_client | Resposta de 202012-9010-13140088.pdf veio como lista de 1 elemento — desembrulhando.
2026-04-22 00:29:57 | INFO    | src.gemini_client | Enviando PDF: 202106-9010-13140088.pdf (0.59 MB)
2026-04-22 00:30:00 | INFO    | src.gemini_client | Arquivo pronto: files/clcvhkudqk3g (estado=ACTIVE)
2026-04-22 00:30:42 | INFO    | src.gemini_client | Enviando PDF: 202112-9010-13140088.pdf (16.10 MB)
2026-04-22 00:30:47 | INFO    | src.gemini_client | Arquivo pronto: files/iq8e7t81zuc0 (estado=ACTIVE)
2026-04-22 00:31:34 | INFO    | src.gemini_client | Enviando PDF: 202206-9010-13140088.pdf (2.85 MB)
2026-04-22 00:31:37 | INFO    | src.gemini_client | Arquivo pronto: files/91xz5e0mttir (estado=ACTIVE)
2026-04-22 00:32:27 | INFO    | src.gemini_client | Enviando PDF: 202212-9010-13140088.pdf (0.65 MB)
2026-04-22 00:32:30 | INFO    | src.gemini_client | Arquivo pronto: files/pdr40siksphn (estado=ACTIVE)
2026-04-22 00:33:13 | INFO    | src.gemini_client | Enviando PDF: 202306-9010-13140088.pdf (0.51 MB)
2026-04-22 00:33:17 | INFO    | src.gemini_client | Arquivo pronto: files/oe0vs47rc06k (estado=ACTIVE)
2026-04-22 00:34:13 | INFO    | src.gemini_client | Enviando PDF: 202312-9010-13140088.pdf (0.96 MB)
2026-04-22 00:34:16 | INFO    | src.gemini_client | Arquivo pronto: files/tzgedoxpuvq4 (estado=ACTIVE)
2026-04-22 00:35:07 | INFO    | src.gemini_client | Enviando PDF: 202406-9010-13140088.pdf (0.66 MB)
2026-04-22 00:35:11 | INFO    | src.gemini_client | Arquivo pronto: files/1jczv17uxtz6 (estado=ACTIVE)
2026-04-22 00:36:07 | INFO    | src.gemini_client | Enviando PDF: 202412-9010-13140088.pdf (0.96 MB)
2026-04-22 00:36:10 | INFO    | src.gemini_client | Arquivo pronto: files/f773xtgymz58 (estado=ACTIVE)
2026-04-22 00:37:06 | INFO    | src.gemini_client | Enviando PDF: 202506-9010-13140088.pdf (0.66 MB)
2026-04-22 00:37:09 | INFO    | src.gemini_client | Arquivo pronto: files/hstnp7a52m3f (estado=ACTIVE)
2026-04-22 00:37:49 | WARNING | src.gemini_client | Resposta de 202506-9010-13140088.pdf veio como lista de 1 elemento — desembrulhando.
2026-04-22 00:37:52 | INFO    | src.gemini_client | Enviando PDF: 202512-9010-13140088.pdf (6.72 MB)
2026-04-22 00:37:55 | INFO    | src.gemini_client | Arquivo pronto: files/zyymawc5nban (estado=ACTIVE)
2026-04-22 00:39:00 | INFO    | src.csv_builder | CSV gerado: /app/CSV/13140088/13140088.csv (13 linhas)
2026-04-22 00:39:00 | INFO    | src.institution_processor | ==> Instituição 13370835 (13 arquivo(s))
2026-04-22 00:39:00 | INFO    | src.gemini_client | Enviando PDF: 201912-9010-13370835.pdf (0.46 MB)
2026-04-22 00:39:03 | INFO    | src.gemini_client | Arquivo pronto: files/cvdig1ab8c19 (estado=ACTIVE)
2026-04-22 00:39:57 | INFO    | src.gemini_client | Enviando PDF: 202006-9010-13370835.pdf (1.50 MB)
